date,month_end,month_avg
2010-09-30,86.3932571411,84.8969076247
2010-10-31,89.6936340332,88.7333642869
2010-11-30,89.6936340332,90.9419206892
2010-12-31,95.6898498535,94.3757705688
2011-01-31,97.9194488525,97.6078472137
2011-02-28,101.3209152222,100.6753046136
2011-03-31,101.3330535889,99.5997457090
2011-04-30,104.2678298950,101.7943172455
2011-05-31,103.0985183716,102.4674657186
2011-06-30,101.3592453003,98.7765267112
2011-07-31,99.3316345215,101.8300903320
2011-08-31,93.8708190918,91.2324009771
2011-09-30,87.3542556763,90.5575470697
2011-10-31,96.8886871338,93.2726916359
2011-11-30,96.4949493408,94.9295963106
2011-12-31,97.5031814575,96.4178811936
2012-01-31,102.0247955322,101.0455226898
2012-02-29,106.4532775879,105.2416648865
2012-03-31,109.8771972656,108.3030613986
2012-04-30,109.1436767578,108.2276092529
2012-05-31,102.5890274048,104.8898904974
2012-06-30,106.7521743774,103.7056710379
2012-07-31,108.0149841309,106.6983755203
2012-08-31,110.7210769653,110.3629866890
2012-09-30,113.5279388428,113.7165463096
2012-10-31,111.4619522095,113.4235516503
2012-11-30,112.0927581787,110.2250253587
2012-12-31,113.0942840576,112.6926624298
